kernel,n_samples,seed,criterion,time_trad,r2_trad,mae_trad,rmse_trad,n_sv_trad,time_sub,r2_sub,mae_sub,rmse_sub,n_sv_sub,speedup,r2_diff,mae_improvement,efficiency
rbf,10000,123,Residual,198.5026774406433,0.9303027693542276,1.045328685788418,1.316017265482069,7810,15.703625679016112,0.8491765915146008,1.4387680440286692,1.935923544008596,1140,12.640563491391127,-0.0811261778396269,-37.63786104688282,0.0540751931351311
rbf,10000,123,Spatial,198.5026774406433,0.9303027693542276,1.045328685788418,1.316017265482069,7810,15.6853346824646,0.842040042766754,1.5345866484402213,1.981195485530994,1218,12.655303916629787,-0.0882627265874737,-46.804222375547866,0.0536832691053836
rbf,10000,456,Residual,198.5026774406433,0.9303027693542276,1.045328685788418,1.316017265482069,7810,13.10942006111145,0.7730147517039,1.792567320071223,2.3749400027877363,792,15.141987709242246,-0.1572880176503277,-71.4836055340063,0.0589663576344628
rbf,10000,456,Spatial,198.5026774406433,0.9303027693542276,1.045328685788418,1.316017265482069,7810,17.484084129333496,0.8504333633083228,1.4402964961402631,1.9278409002944603,972,11.353335752234816,-0.0798694060459049,-37.78407841682337,0.0486404296054334
rbf,10000,789,Residual,198.5026774406433,0.9303027693542276,1.045328685788418,1.316017265482069,7810,15.024399280548096,0.8449294629082675,1.522297551446662,1.962991737065276,978,13.212020909058392,-0.0853733064459602,-45.62860200268013,0.0562371544533023
rbf,10000,789,Spatial,198.5026774406433,0.9303027693542276,1.045328685788418,1.316017265482069,7810,15.445773839950562,0.8421700517589197,1.4708911721207678,1.9803800059195067,859,12.851585132446733,-0.088132717595308,-40.7108780346325,0.0545243029248973
rbf,10000,1011,Residual,198.5026774406433,0.9303027693542276,1.045328685788418,1.316017265482069,7810,14.136651515960692,0.8385367760124847,1.5335995548283068,2.0030446760046234,1003,14.04170409212733,-0.091765993341743,-46.70979335763853,0.0593165061093677
rbf,10000,1011,Spatial,198.5026774406433,0.9303027693542276,1.045328685788418,1.316017265482069,7810,14.458271741867064,0.8246079797535723,1.5203876915129118,2.0876550540797005,1214,13.729350297507253,-0.1056947896006554,-45.445897752838384,0.0570336478989906
rbf,15000,42,Residual,533.8407418727875,0.9382046060222212,0.9828775787557068,1.2341524200190617,11616,17.29352855682373,0.8599571492491741,1.4054195629772457,1.8578952219560685,1311,30.86939372255196,-0.078247456773047,-42.99029638629707,0.0497271072484423
rbf,15000,42,Spatial,533.8407418727875,0.9382046060222212,0.9828775787557068,1.2341524200190617,11616,20.26808786392212,0.8661985960682573,1.4002018648331764,1.8160219004018407,1810,26.338979061909537,-0.0720060099539637,-42.45943697340104,0.0427370653750776
rbf,15000,123,Residual,533.8407418727875,0.9382046060222212,0.9828775787557068,1.2341524200190617,11616,18.68610715866089,0.8624866850485965,1.401331291430076,1.8410395663891788,1260,28.56885799380401,-0.0757179209736246,-42.57434717395006,0.0461565738505807
rbf,15000,123,Spatial,533.8407418727875,0.9382046060222212,0.9828775787557068,1.2341524200190617,11616,18.343674898147583,0.8747160298089203,1.3410615653918274,1.7572700216318846,1307,29.10216981258738,-0.0634885762133008,-36.4423804528709,0.0476848850988551
rbf,15000,456,Residual,533.8407418727875,0.9382046060222212,0.9828775787557068,1.2341524200190617,11616,19.916332960128784,0.8732434956100318,1.3726144236336413,1.7675669536901295,1602,26.804168364804017,-0.0649611104121893,-39.65263358345496,0.0438455963433735
rbf,15000,456,Spatial,533.8407418727875,0.9382046060222212,0.9828775787557068,1.2341524200190617,11616,17.266326665878296,0.8714479227810596,1.360752067383149,1.7800421891783282,1595,30.918026294948028,-0.0667566832411614,-38.44573289644268,0.0504709507496585
rbf,15000,789,Residual,533.8407418727875,0.9382046060222212,0.9828775787557068,1.2341524200190617,11616,15.092173099517822,0.8192903849380809,1.6089731763314603,2.110480660500632,707,35.372026172284166,-0.1189142210841401,-63.700262485219326,0.0542857797572078
rbf,15000,789,Spatial,533.8407418727875,0.9382046060222212,0.9828775787557068,1.2341524200190617,11616,18.14596652984619,0.8633599271551635,1.3905119265556296,1.835184738140901,1742,29.419250883921496,-0.0748446788670575,-41.47356258914517,0.0475786134475186
rbf,15000,1011,Residual,533.8407418727875,0.9382046060222212,0.9828775787557068,1.2341524200190617,11616,17.046352863311768,0.8669757825561984,1.403300777291462,1.810740030670533,1104,31.317006409139463,-0.0712288234660226,-42.77472674348701,0.0508598988597823
rbf,15000,1011,Spatial,533.8407418727875,0.9382046060222212,0.9828775787557068,1.2341524200190617,11616,20.03264808654785,0.8655659912282448,1.3854349328096802,1.820309858218229,1656,26.64853590830398,-0.0726386147939762,-40.9570187330551,0.043207767015559
rbf,20000,42,Residual,1357.4099917411804,0.9425737958991698,0.9444737799555248,1.1814618590071098,15886,17.568636655807495,0.869083422887155,1.370004615667484,1.7838649474632848,1527,77.26325145966716,-0.0734903730120147,-45.054806681027976,0.0494678921258167
rbf,20000,42,Spatial,1357.4099917411804,0.9425737958991698,0.9444737799555248,1.1814618590071098,15886,23.868101596832275,0.8508149965024868,1.4776436460590985,1.904264342298743,2286,56.87130106406674,-0.0917587993966829,-56.45152649221036,0.0356465298696149
rbf,20000,123,Residual,1357.4099917411804,0.9425737958991698,0.9444737799555248,1.1814618590071098,15886,16.527047157287598,0.718823287229291,1.9943103281145755,2.61429339394863,1766,82.13263862701758,-0.2237505086698787,-111.15571130079304,0.0434937518110926
rbf,20000,123,Spatial,1357.4099917411804,0.9425737958991698,0.9444737799555248,1.1814618590071098,15886,21.920217275619507,0.7952084675018574,1.6504563664392526,2.2311082843979797,2416,61.9250244955803,-0.1473653283973124,-74.74877561100452,0.0362773989647592
rbf,20000,456,Residual,1357.4099917411804,0.9425737958991698,0.9444737799555248,1.1814618590071098,15886,17.487311363220215,0.7252482181956479,1.999214231064304,2.584252288992801,1217,77.62256664544338,-0.2173255777035219,-111.67493195612552,0.0414728258182106
rbf,20000,456,Spatial,1357.4099917411804,0.9425737958991698,0.9444737799555248,1.1814618590071098,15886,30.368834733963013,0.8749773350614525,1.3115939133840078,1.7432474026609242,2424,44.697467111674186,-0.0675964608377173,-38.87033618294524,0.0288116861488571
rbf,20000,789,Residual,1357.4099917411804,0.9425737958991698,0.9444737799555248,1.1814618590071098,15886,18.73092484474182,0.8559891099586453,1.453887012291314,1.8709505888521123,1815,72.4689252128538,-0.0865846859405244,-53.93619633991084,0.0456992442740455
rbf,20000,789,Spatial,1357.4099917411804,0.9425737958991698,0.9444737799555248,1.1814618590071098,15886,23.87109589576721,0.8728140353228969,1.3429366042652289,1.7582646513801607,2393,56.864167345659,-0.0697597605762728,-42.18887096351869,0.0365636349137059
rbf,20000,1011,Residual,1357.4099917411804,0.9425737958991698,0.9444737799555248,1.1814618590071098,15886,21.559515237808228,0.85329251488211,1.3728118369347817,1.8883860653079103,1964,62.96106274971963,-0.0892812810170597,-45.35203264186193,0.0395784647970988
rbf,20000,1011,Spatial,1357.4099917411804,0.9425737958991698,0.9444737799555248,1.1814618590071098,15886,20.35089111328125,0.8762624233229328,1.35006901619177,1.7342649782049118,1712,66.70027293572994,-0.0663113725762369,-42.94404406391723,0.0430576930732567
rbf,30000,42,Residual,4824.398540019989,0.9492853105119616,0.9052506658041168,1.1369333174565537,23778,29.51982593536377,0.8757764367314553,1.394476977234904,1.7793857137780102,2606,163.42909848396226,-0.0735088737805064,-54.04318714267022,0.0296673984002833
rbf,30000,42,Spatial,4824.398540019989,0.9492853105119616,0.9052506658041168,1.1369333174565537,23778,47.4617223739624,0.9109488077565197,1.1914789804104946,1.5065653589045067,3590,101.6481977204153,-0.038336502755442,-31.618680374250445,0.0191933364865887
rbf,30000,123,Residual,4824.398540019989,0.9492853105119616,0.9052506658041168,1.1369333174565537,23778,27.615859746932983,0.8913433446308239,1.2846469502879323,1.6641645806786052,2533,174.6966628680024,-0.0579419658811378,-41.91063302304285,0.0322765017203499
rbf,30000,123,Spatial,4824.398540019989,0.9492853105119616,0.9052506658041168,1.1369333174565537,23778,33.820903301239014,0.8924463333394149,1.2562157610251616,1.6556964533826903,2851,142.6454668300728,-0.0568389771725468,-38.76993505542349,0.0263874186147689
rbf,30000,456,Residual,4824.398540019989,0.9492853105119616,0.9052506658041168,1.1369333174565537,23778,37.36610674858093,0.9008352227599068,1.2582801953414584,1.5898158719771185,1847,129.111619053093,-0.0484500877520548,-38.99798617919294,0.0241083511541945
rbf,30000,456,Spatial,4824.398540019989,0.9492853105119616,0.9052506658041168,1.1369333174565537,23778,50.52432823181152,0.9025416642606618,1.2198835944886204,1.5760776249817512,3627,95.48664393685918,-0.0467436462512999,-34.756442670497364,0.017863506469986
rbf,30000,789,Residual,4824.398540019989,0.9492853105119616,0.9052506658041168,1.1369333174565537,23778,32.94616627693176,0.8963238809775957,1.2476061073356803,1.625576730688162,2961,146.43277458955626,-0.052961429534366,-37.81885553516337,0.0272057110816314
rbf,30000,789,Spatial,4824.398540019989,0.9492853105119616,0.9052506658041168,1.1369333174565537,23778,41.95287108421326,0.9001418540672864,1.243917375851914,1.595364255165025,3458,114.99567050693214,-0.0491434564446753,-37.411373759881855,0.0214560250777689
rbf,30000,1011,Residual,4824.398540019989,0.9492853105119616,0.9052506658041168,1.1369333174565537,23778,44.229368686676025,0.9027832169617658,1.2510352516796033,1.5741232411193264,3320,109.07681215611214,-0.0465020935501959,-38.19766159114974,0.0204113973083619
rbf,30000,1011,Spatial,4824.398540019989,0.9492853105119616,0.9052506658041168,1.1369333174565537,23778,29.17924213409424,0.8217998146940753,1.5675535701123808,2.1311900692344947,2578,165.3366635723195,-0.1274854958178864,-73.16237693345997,0.0281638505523023
rbf,40000,42,Residual,10522.708431005478,0.9506748744795728,0.8862778896414113,1.1169146799632916,31769,70.7213020324707,0.912590289245052,1.162149626938206,1.486845151761576,3818,148.79121464950012,-0.0380845852345207,-31.127002097323302,0.0129040368745763
